movie_title,release_date,genre,metascore
Two Family House,06-Oct-00,Drama,79
"Love, Antosha",02-Aug-19,"Biography,Music,Documentary",78
Henri Langlois: The Phantom of the Cinematheque,12-Oct-05,"Biography,History,Documentary",78
Hooligan Sparrow,22-Jul-16,"Drama,Crime,Documentary,News",78
Home of the Brave,27-Oct-04,Documentary,77
Presenting Princess Shaw,27-May-16,"Music,Documentary",77
"Sobibór, 14 octobre 1943, 16 heures",12-Oct-01,"History,Documentary",77
Miles Davis: Birth of the Cool,23-Aug-19,"Music,Documentary",76
A Place in the Sun,14-Aug-51,"Drama,Romance",76
House Party,09-Mar-90,"Comedy,Romance,Music",76
Anita O'Day: The Life of a Jazz Singer,15-Aug-08,"Music,Documentary",76
Time to Choose,03-Jun-16,Documentary,75
Ballplayer: Pelotero,13-Jul-12,"Drama,Sport,Documentary",75
Notes on Blindness,16-Nov-16,"Drama,Documentary",75
Jeremiah Johnson,12-May-72,"Adventure,Drama,Western",75
Under The Wire,16-Nov-18,Documentary,75
Kids for Cash,07-Feb-14,"Drama,Crime,Documentary,News",75
Another Road Home,29-Apr-05,Documentary,75
Down from the Mountain,15-Jun-01,"Music,Documentary",75
Very Semi-Serious,20-Nov-15,Documentary,74
Raise Hell: The Life & Times of Molly Ivins,30-Aug-19,Documentary,74
Egg,18-Jan-19,Comedy,74
Chisholm '72: Unbought & Unbossed,24-Sep-04,Documentary,73
Werewolf,01-Mar-18,Drama,73
The Fall of Fujimori,18-Jan-06,Documentary,73
Sky Ladder: The Art of Cai Guo-Qiang,14-Oct-16,Documentary,73
Knuckleball!,21-Sep-12,Documentary,73
Uprising (2013),11-Jan-13,"Action,History,Documentary,News",73
Berlin,18-Jul-08,Documentary,72
Full Battle Rattle,09-Jul-08,Documentary,72
The Great Invisible,29-Oct-14,Documentary,72
When I Saw You,15-Jan-14,Drama,72
Dormant Beauty,06-Jun-14,Drama,72
Thirst Street,20-Sep-17,"Drama,Comedy,Romance",71
On the Town,30-Dec-49,"Comedy,Romance,Musical",71
"Never Steady, Never Still",22-Jun-18,Drama,70
Sworn Virgin,22-Apr-16,Drama,70
Where's My Roy Cohn?,20-Sep-19,Documentary,70
The Duellists,13-Jan-78,"Drama,War",70
Our Father,20-Feb-04,Drama,70
Bob Roberts,04-Sep-92,"Drama,Comedy",70
Gabrielle,04-Jul-14,"Drama,Romance,Music",70
Wait for Your Laugh,03-Nov-17,"Comedy,Documentary",70
The Eyes of Tammy Faye,21-Jul-00,"Biography,Documentary",69
Youth,15-Dec-17,"Drama,Romance",69
Melody Time,27-May-48,"Music,Animation,Family,Musical",69
10,05-Oct-79,"Comedy,Romance",68
Police Story 2 (1988),08-Mar-19,"Action,Thriller,Comedy,Crime",68
The President's Last Bang,14-Oct-05,"Drama,History,Comedy,Crime",68
A Dry White Season,20-Sep-89,"Drama,Thriller",68
Storm Boy,05-Apr-19,"Adventure,Drama,Family",67
Pianomania,04-Nov-11,"Music,Documentary",67
Harmony and Me,18-Sep-09,Comedy,67
Fiddler on the Roof,03-Nov-71,"Drama,Romance,Family,Musical",67
The Spy Behind Home Plate,24-May-19,Documentary,67
Smash & Grab: The Story of the Pink Panthers,31-Jul-13,"History,Thriller,Crime,Documentary",66
Mosquita y Mari,03-Aug-12,Drama,66
E-Team,22-Oct-14,Documentary,66
Norman Lear: Just Another Version of You,08-Jul-16,"Biography,History,Documentary",66
"White King, Red Rubber, Black Death",21-Oct-05,"History,Documentary",65
They Call Us Monsters,20-Jan-17,Documentary,65
Touch Me Not,11-Jan-19,Drama,65
Don't Leave Home,14-Sep-18,"Mystery,Thriller,Horror",65
Teenage,14-Mar-14,"History,Documentary",64
